Date,zone,centre,Price
03-02-93,3,CUTTACK,NA
03-02-93,3,KOLKATA,NA
03-02-93,3,AGARTALA,NA
03-02-93,4,HYDERABAD,NA
03-02-93,4,VIJAYAWADA,NA
03-02-93,4,BANGALORE,NA
03-02-93,4,THIRUVANANTHAPURAM,NA
03-02-93,4,ERNAKULAM,NA
03-02-93,4,CHENNAI,NA
03-02-93,4,MADURAI,NA
03-02-93,4,PONDICHERRY,NA
10-02-93,1,HISAR,NA
10-02-93,1,KARNAL,NA
10-02-93,1,SHIMLA,NA
10-02-93,1,MANDI,NA
10-02-93,1,SRINAGAR,NA
10-02-93,1,JAMMU,NA
10-02-93,1,AMRITSAR,NA
10-02-93,1,LUDHIANA,NA
10-02-93,1,LUCKNOW,NA
10-02-93,1,KANPUR,NA
10-02-93,1,CHANDIGARH,NA
10-02-93,1,DELHI,NA
10-02-93,2,AHMEDABAD,NA
10-02-93,2,RAJKOT,NA
10-02-93,2,PANAJI,NA
10-02-93,2,BHOPAL,NA
10-02-93,2,INDORE,NA
10-02-93,2,MUMBAI,NA
10-02-93,2,NAGPUR,NA
10-02-93,2,JAIPUR,NA
10-02-93,2,JODHPUR,NA
10-02-93,3,GUWAHATI,NA
10-02-93,3,PATNA,NA
10-02-93,3,SHILLONG,NA
10-02-93,3,AIZAWL,NA
10-02-93,3,BHUBANESHWAR,NA
10-02-93,3,CUTTACK,NA
10-02-93,3,KOLKATA,NA
10-02-93,3,AGARTALA,NA
10-02-93,4,HYDERABAD,NA
10-02-93,4,VIJAYAWADA,NA
10-02-93,4,BANGALORE,NA
10-02-93,4,THIRUVANANTHAPURAM,NA
10-02-93,4,ERNAKULAM,NA
10-02-93,4,CHENNAI,NA
10-02-93,4,MADURAI,NA
10-02-93,4,PONDICHERRY,NA
17-02-93,1,HISAR,NA
17-02-93,1,KARNAL,NA
17-02-93,1,SHIMLA,NA
17-02-93,1,MANDI,NA
17-02-93,1,SRINAGAR,NA
17-02-93,1,JAMMU,NA
17-02-93,1,AMRITSAR,NA
17-02-93,1,LUDHIANA,NA
17-02-93,1,LUCKNOW,NA
17-02-93,1,KANPUR,NA
17-02-93,1,CHANDIGARH,NA
17-02-93,1,DELHI,NA
17-02-93,2,AHMEDABAD,NA
17-02-93,2,RAJKOT,NA
17-02-93,2,PANAJI,NA
17-02-93,2,BHOPAL,NA
17-02-93,2,INDORE,NA
17-02-93,2,MUMBAI,NA
17-02-93,2,NAGPUR,NA
17-02-93,2,JAIPUR,NA
17-02-93,2,JODHPUR,NA
17-02-93,3,GUWAHATI,NA
17-02-93,3,PATNA,NA
17-02-93,3,SHILLONG,NA
17-02-93,3,AIZAWL,NA
17-02-93,3,BHUBANESHWAR,NA
17-02-93,3,CUTTACK,NA
17-02-93,3,KOLKATA,NA
17-02-93,3,AGARTALA,NA
17-02-93,4,HYDERABAD,NA
17-02-93,4,VIJAYAWADA,NA
17-02-93,4,BANGALORE,NA
17-02-93,4,THIRUVANANTHAPURAM,NA
17-02-93,4,ERNAKULAM,NA
17-02-93,4,CHENNAI,NA
17-02-93,4,MADURAI,NA
17-02-93,4,PONDICHERRY,NA
24-02-93,1,HISAR,NA
24-02-93,1,KARNAL,NA
24-02-93,1,SHIMLA,NA
24-02-93,1,MANDI,NA
24-02-93,1,SRINAGAR,NA
24-02-93,1,JAMMU,NA
24-02-93,1,AMRITSAR,NA
24-02-93,1,LUDHIANA,NA
24-02-93,1,LUCKNOW,NA
24-02-93,1,KANPUR,NA
24-02-93,1,CHANDIGARH,NA
24-02-93,1,DELHI,NA
