STATE/UT,Year,CAUSE,Male upto 14 years,Male 15-29 years,Male 30-44 years,Male 45-59 years,Male 60 years and above,Total Male,Female upto 14 years,Female 15-29 years,Female 30-44 years,Female 45-59 years,Female 60 years and above,Total Female,Grand Total
TAMIL NADU,2013,Cyclone/tornado,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2013,Starvation/thirst,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2013,Earthquake,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2013,Epidemic,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2013,Flood,0,1,0,3,0,4,0,2,0,0,0,2,6
TAMIL NADU,2013,Heat Stroke,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2013,Landslide,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2013,Lightning,2,21,22,17,12,74,1,8,14,11,3,37,111
TAMIL NADU,2013,Torrential rains,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2013,Other Natural Causes,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2013,Total,2,22,22,20,12,78,1,10,14,11,3,39,117
TRIPURA,2013,Avalanche,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2013,Cold and Exposure,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2013,Cyclone/tornado,0,0,0,0,0,0,1,0,0,0,0,1,1
TRIPURA,2013,Starvation/thirst,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2013,Earthquake,0,0,1,0,0,1,0,0,0,0,0,0,1
TRIPURA,2013,Epidemic,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2013,Flood,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2013,Heat Stroke,0,0,3,6,2,11,0,1,0,0,0,1,12
TRIPURA,2013,Landslide,0,1,0,1,0,2,0,0,0,0,1,1,3
TRIPURA,2013,Lightning,0,2,0,0,0,2,1,0,1,0,0,2,4
TRIPURA,2013,Torrential rains,0,0,0,0,1,1,0,0,0,0,0,0,1
TRIPURA,2013,Other Natural Causes,1,3,4,5,2,15,2,2,3,1,0,8,23
TRIPURA,2013,Total,1,6,8,12,5,32,4,3,4,1,1,13,45
UTTAR PRADESH,2013,Avalanche,1,1,4,6,8,20,0,1,0,1,2,4,24
UTTAR PRADESH,2013,Cold and Exposure,1,10,29,38,54,132,0,2,2,10,17,31,163
UTTAR PRADESH,2013,Cyclone/tornado,1,2,4,6,1,14,1,0,0,2,1,4,18
UTTAR PRADESH,2013,Starvation/thirst,0,0,0,1,1,2,0,0,0,0,0,0,2
UTTAR PRADESH,2013,Earthquake,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,2013,Epidemic,0,2,1,1,3,7,0,1,0,1,0,2,9
UTTAR PRADESH,2013,Flood,9,15,24,7,2,57,1,3,1,3,1,9,66
UTTAR PRADESH,2013,Heat Stroke,7,6,20,26,31,90,0,3,3,8,4,18,108
